query;date;url;sentiment;type;discussion length;views;author;followers;influence;GPS latitude;GPS longitude;message text;source;title
icdrachten OR nijsmellinghe OR r...;2020-05-11 00:31;https://twitter.com/sterrenellen/status/1259612050566889484;+;comment;16;216;sterrenellen;216;1.4;;;RT @radiotelescoop: Leuk nieuws van de @WerkgroepMeteor: afgelopen nacht was er aan de hemel een heldere vuurbal te zien. En o.a. de camera op het dak van [@ASTRON_NL] legde hem vast! Zie https://t.co/NbyAwu8zyI https://t.co/bNlPnFzVrU;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-10 23:39;https://twitter.com/nrcwetenschap/status/1259598964283846656;+;comment;16;7935;nrcwetenschap;7935;7.2;;;RT @radiotelescoop: Leuk nieuws van de @WerkgroepMeteor: afgelopen nacht was er aan de hemel een heldere vuurbal te zien. En o.a. de camera op het dak van [@ASTRON_NL] legde hem vast! Zie https://t.co/NbyAwu8zyI https://t.co/bNlPnFzVrU;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-10 23:35;https://twitter.com/Mmar53593291/status/1259597940307394560;+;comment;16;15;Mmar53593291;15;0.6;;;RT @radiotelescoop: Leuk nieuws van de @WerkgroepMeteor: afgelopen nacht was er aan de hemel een heldere vuurbal te zien. En o.a. de camera op het dak van [@ASTRON_NL] legde hem vast! Zie https://t.co/NbyAwu8zyI https://t.co/bNlPnFzVrU;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-10 23:34;https://twitter.com/PiaVrijmoed/status/1259597826146865152;+;comment;16;1431;PiaVrijmoed;1431;2.1;;;RT @radiotelescoop: Leuk nieuws van de @WerkgroepMeteor: afgelopen nacht was er aan de hemel een heldere vuurbal te zien. En o.a. de camera op het dak van [@ASTRON_NL] legde hem vast! Zie https://t.co/NbyAwu8zyI https://t.co/bNlPnFzVrU;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-10 23:29;https://twitter.com/barin_moon/status/1259596493779898368;+;comment;16;2452;barin_moon;2452;0.7;;;RT @radiotelescoop: Leuk nieuws van de @WerkgroepMeteor: afgelopen nacht was er aan de hemel een heldere vuurbal te zien. En o.a. de camera op het dak van [@ASTRON_NL] legde hem vast! Zie https://t.co/NbyAwu8zyI https://t.co/bNlPnFzVrU;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-10 23:23;https://twitter.com/ejvandermeulen/status/1259594909763371014;+;comment;16;1253;ejvandermeulen;1253;1.9;;;RT @radiotelescoop: Leuk nieuws van de @WerkgroepMeteor: afgelopen nacht was er aan de hemel een heldere vuurbal te zien. En o.a. de camera op het dak van [@ASTRON_NL] legde hem vast! Zie https://t.co/NbyAwu8zyI https://t.co/bNlPnFzVrU;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-10 23:18;https://twitter.com/govertschilling/status/1259593698389692416;+;comment;16;24650;govertschilling;24650;85.2;;;RT @radiotelescoop: Leuk nieuws van de @WerkgroepMeteor: afgelopen nacht was er aan de hemel een heldere vuurbal te zien. En o.a. de camera op het dak van [@ASTRON_NL] legde hem vast! Zie https://t.co/NbyAwu8zyI https://t.co/bNlPnFzVrU;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-10 22:48;https://twitter.com/PaganRene/status/1259586154862718976;;comment;16;;PaganRene;436;1.4;;;@radiotelescoop @WerkgroepMeteor [@ASTRON_NL] Gezien!;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-10 21:37;https://twitter.com/Fred_vdH/status/1259568278260850690;+;comment;16;154;Fred_vdH;154;1.3;;;RT @radiotelescoop: Leuk nieuws van de @WerkgroepMeteor: afgelopen nacht was er aan de hemel een heldere vuurbal te zien. En o.a. de camera op het dak van [@ASTRON_NL] legde hem vast! Zie https://t.co/NbyAwu8zyI https://t.co/bNlPnFzVrU;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-10 21:26;https://twitter.com/WerkgroepMeteor/status/1259565610817781763;+;comment;16;960;WerkgroepMeteor;960;1.9;;;RT @radiotelescoop: Leuk nieuws van de @WerkgroepMeteor: afgelopen nacht was er aan de hemel een heldere vuurbal te zien. En o.a. de camera op het dak van [@ASTRON_NL] legde hem vast! Zie https://t.co/NbyAwu8zyI https://t.co/bNlPnFzVrU;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-10 21:21;https://twitter.com/radiotelescoop/status/1259564343655612419;+;post;16;4643;radiotelescoop;4643;3.8;;;Leuk nieuws van de @WerkgroepMeteor: afgelopen nacht was er aan de hemel een heldere vuurbal te zien. En o.a. de camera op het dak van [@ASTRON_NL] legde hem vast! Zie https://t.co/NbyAwu8zyI https://t.co/bNlPnFzVrU;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-10 17:49;https://twitter.com/MillenniumTwain/status/1259510877801209858;;comment;;;MillenniumTwain;598;0.8;;;@HambObs @ehtelescope @LOFAR [@ASTRON_NL] @TheNRAO @unihh @hfalcke Superluminal-Spin Toroidal-Plasma SuperStar ...;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-10 15:27;https://twitter.com/gravinpetra/status/1259475265866076160;;comment;12;665;gravinpetra;665;3;;;RT [@nijsmellinghe]: 👨‍⚕️Kinderarts Alwin Brouwer vertelt in de Leeuwarder Courant over de kinderen die weer naar school gaan. ‘Kind loopt geen extra risico op corona’. Benieuwd naar het hele verhaal? Lees het artikel hier: https://t.co/jTEnJN3mtC https://t.co/uDBgUYsJms;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-10 15:27;https://twitter.com/JanPeterRake/status/1259475160702353409;;comment;12;5977;JanPeterRake;5977;9.4;;;RT [@nijsmellinghe]: 👨‍⚕️Kinderarts Alwin Brouwer vertelt in de Leeuwarder Courant over de kinderen die weer naar school gaan. ‘Kind loopt geen extra risico op corona’. Benieuwd naar het hele verhaal? Lees het artikel hier: https://t.co/jTEnJN3mtC https://t.co/uDBgUYsJms;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-10 12:01;https://twitter.com/Akcar/status/1259423266751512576;;comment;12;463;Akcar;463;1.9;;;RT [@nijsmellinghe]: 👨‍⚕️Kinderarts Alwin Brouwer vertelt in de Leeuwarder Courant over de kinderen die weer naar school gaan. ‘Kind loopt geen extra risico op corona’. Benieuwd naar het hele verhaal? Lees het artikel hier: https://t.co/jTEnJN3mtC https://t.co/uDBgUYsJms;twitter;
icdrachten OR nijsmellinghe OR r...;2020-05-10 09:02;https://twitter.com/essiewashere/status/1259378331411193856;;comment;12;263;essiewashere;263;1.4;;;RT [@nijsmellinghe]: 👨‍⚕️Kinderarts Alwin Brouwer vertelt in de Leeuwarder Courant over de kinderen die weer naar school gaan. ‘Kind loopt geen extra risico op corona’. Benieuwd naar het hele verhaal? Lees het artikel hier: https://t.co/jTEnJN3mtC https://t.co/uDBgUYsJms;twitter;
