"","Id","views","influence","followers"
"971","hbosbot",129,1.01764705882353,129
"972","hdx3dguy",577,1.17142857142857,577
"973","head_dragon200",3,0.7,3
"974","healthhub_roden",925,6,925
"975","healthyageingeu",2498.25,2.8875,2498.25
"976","hectaresbe",44,2.2,44
"977","heelkundefrl",332,1.2,332
"978","heerenveen",6414,3,6414
"979","heerlijkheiddeh",304,1,304
"980","heijmansnl",30763,6.3,30763
"981","heijningenjoris",28,1.8,28
"982","helengavaghan",916,0.7,916
"983","heljurgen",123,2.1,123
"984","hellekoning",58,0.7,58
"985","helmajger",319,1.2,319
"986","helmakiewiet",293,1.3,293
"987","helmaknoope",27,0.4,27
"988","hemaloart",1449.25,1.275,1449.25
"989","hemingwaydm",762,0.5,762
"990","hen3jetta",190,2.2,190
"991","hendrik_sjoerd",327,4.5,327
"992","hendrika1962",223,0.8,223
"993","hendriksben",569,0.8,569
"994","hendrikterpstra",994,1,994
"995","henk_dokter",607,0.8,607
"996","henk_lukken",986,1.5,986
"997","henkbrinkdr",3877.58823529412,5.47058823529412,3877.58823529412
"998","henkharink",408,1,408
"999","henkjumelet",2811,1.2,2811
"1000","henkkosters",714.6,1.3,714.6
"1001","henkmobron",112,0.8,112
"1002","henkmolenaars",1259,1.9,1259
"1003","henkoetazzn",198,2.14,198
"1004","henkpiek",140,0.8,140
"1005","hennak1986",112,3.1,112
"1006","henrikuiper",640,1.03333333333333,640
"1007","herman05",1743,5.9,1743
"1008","hermanbrinkhor2",150,1.2,150
"1009","hermannjaeger",1881,2.6,1881
"1010","hermendegraaf",1565,2.3,1565
"1011","herrie_noortje",654,1.1,654
"1012","herriefilmtv",914.142857142857,1.1,914.142857142857
"1013","hesta1962simone",29,0.5,29
"1014","hestermvd",79,1.1,79
"1015","het_boerinneke",474,5.2,474
"1016","hetiskerstman",557,11.1,557
"1017","hetleesbureau",912,2,912
"1018","hfalcke",4864.54545454545,5.06666666666667,4864.54545454545
"1019","hgprtase",20,0.8,20
"1020","hielkomerkus",1979,15.9,1979
"1021","hiemstrahans",24,0.7,24
"1022","higalaxies",873,0.7,873
"1023","hildaboesjes",807,1.38888888888889,807
"1024","hildahuizinga",171,1.3,171
"1025","hilledehaan",88,0.5,88
"1026","hilliedekoe",302.333333333333,0.833333333333333,302.333333333333
"1027","hillykup",32,1.2,32
"1028","hilmamastwijk",630.6,0.9,630.6
"1029","hinkeminnema",58,0.7,58
"1030","hiprocessor",261.571428571429,1.74285714285714,261.571428571429
"1031","hirokiakamatsu",210,0.8,210
"1032","hjapotheker",1000,1.2,1000
"1033","hmbark",44,0.4,44
"1034","hmcmbovakschool",1265,1.3,1265
"1035","hmt62971471",0,0.7,0
"1036","hofstrajan10us",104,0.7,104
"1037","hoite89",221,2.5,221
"1038","hoiti022",339,1.1,339
"1039","holjeroen",20,0.7,20
"1040","horizonflevo",1458,1.9,1458
"1041","horus_vr",2067,0.7,2067
"1042","hotaananda",216.1,0.67,216.1
"1043","hotzehofstra",2743,3.2,2743
"1044","houkjer",1986.9,0.83,1986.9
"1045","hovingroelof",188,1.1,188
"1046","hspiekman",79,0.7,79
"1047","htsmhonours",569.052631578947,1.23157894736842,569.052631578947
"1048","hubfederation",146.235294117647,2.21176470588235,146.235294117647
"1049","hugodejonge",38022,123.9,38022
"1050","hugoouwendijk",235.090909090909,0.636363636363636,235.090909090909
"1051","hugovel",311,0.7,311
"1052","huigen2",1873,8.9,1873
"1053","huisdoktertim",2426,7.8,2426
"1054","huismanbert",868,1.8,868
"1055","huskyneus",76,1.6,76
"1056","hylkebreman",70,0.6,70
"1057","i_groenewoud",633,0.9,633
"1058","i_lofar",1677.38144329897,1.48659793814433,1677.38144329897
"1059","i_might_exist",57,0.7,57
"1060","iac2019dc",1162,0.8,1162
"1061","iamalicedj",166,0.6,166
"1062","iamvishu991",77,0.7,77
"1063","ianfmusgrave",1506,0.7,1506
"1064","iau_outreach",2109.14285714286,2.5,2109.14285714286
"1065","ibelings",5479,0.8,5479
"1066","icdrachten",421.727272727273,2.025,421.727272727273
"1067","ick_nhn",51,1.575,51
"1068","ickeestickie",3,1.9,3
"1069","icrar",2548.38709677419,1.03225806451613,2548.38709677419
"1070","icthealth_nl",3944,2.95,3944
"1071","idaoverdijk",2192.3,4.21,2192.3
"1072","ideetje9",1435,2.5,1435
"1073","idorixt",96.875,1.49375,96.875
"1074","ietsist",1605,3.1,1605
"1075","iflck",1991,0.8,1991
"1076","igoneurd",154.466666666667,1.74,154.466666666667
"1077","ih83_zvl",1395.53846153846,4.37692307692308,1395.53846153846
"1078","ikbenjeannette",52,1.4,52
"1079","ikoornstra",182,0.7,182
"1080","ikwilpret",3868,7.6,3868
"1081","ilonadulfer",266,0.7,266
